gr,recn,yearStart,yearEnd
TQ2892,2,2022,2022
TQ3782,1,2022,2022
TQ3386,1,2016,2016
TQ1683,1,2019,2019
TQ2991,40,2018,2023
TQ2587,2,2014,2014
TQ1588,9,2020,2022
TQ2887,1,2014,2014
TQ2888,1,2022,2022
TQ1688,4,2022,2022
TQ3398,1,2022,2022
TQ2786,2,2019,2019
TQ3682,2,2022,2022
TQ2679,7,2008,2017
TQ1488,4,2021,2022
TQ2886,2,2017,2018
TQ2880,1,2021,2021
TQ3087,2,2022,2023
TQ1470,1,2018,2018
TQ1469,2,2018,2022
TQ2577,1,2016,2016
TQ3298,1,2023,2023
TQ2294,1,2022,2022
TQ1583,2,2016,2016
TQ1668,2,2022,2022
TQ2091,1,2022,2022
TQ2788,1,2022,2022
TQ2686,2,2023,2023
TQ1593,3,2014,2021
TQ2077,1,2023,2023
TQ1689,1,2022,2022
TQ3281,1,2022,2022
TQ2885,1,2023,2023
TQ2990,1,2010,2010
TQ2492,1,2023,2023
TQ3593,2,2012,2012
TQ2390,1,2022,2022
TQ1670,1,2018,2018
TQ2590,1,2023,2023
TQ2479,1,2019,2019
TQ2493,1,2022,2022
TQ2780,1,2019,2019
TQ2879,1,2021,2021
TQ2979,1,2021,2021
TQ2791,1,2021,2021
TQ2779,1,2007,2007
TQ2992,2,2022,2022
TQ2177,1,2023,2023
TQ2785,1,2017,2017
TQ2790,1,2022,2022
TQ2680,1,2018,2018
TQ1584,1,2023,2023
TQ2694,1,2022,2022